CARD_TYPE,COUNT,PERIOD,TRAIN_LINE
Adult,"8,575,135",July 2016,"T1 North Shore, Northern and Western Line"
Child/Youth,"432,083",July 2016,"T1 North Shore, Northern and Western Line"
Concession,"790,206",July 2016,"T1 North Shore, Northern and Western Line"
Day Pass Child/Youth w/o SAF,nan,July 2016,"T1 North Shore, Northern and Western Line"
Day Pass without SAF,nan,July 2016,"T1 North Shore, Northern and Western Line"
Employee,"101,255",July 2016,"T1 North Shore, Northern and Western Line"
Free Travel,"9,429",July 2016,"T1 North Shore, Northern and Western Line"
School Student,"217,702",July 2016,"T1 North Shore, Northern and Western Line"
Senior/Pensioner,"880,165",July 2016,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Adult,"20,587",July 2016,"T1 North Shore, Northern and Western Line"
Sgl Trip Rail Child/Youth,"7,516",July 2016,"T1 North Shore, Northern and Western Line"
Adult,"5,266,404",July 2016,"T2 Airport, Inner West and South Line"
Child/Youth,"237,705",July 2016,"T2 Airport, Inner West and South Line"
Concession,"527,290",July 2016,"T2 Airport, Inner West and South Line"
Day Pass Child/Youth w/o SAF,nan,July 2016,"T2 Airport, Inner West and South Line"
Day Pass without SAF,nan,July 2016,"T2 Airport, Inner West and South Line"
Employee,"63,235",July 2016,"T2 Airport, Inner West and South Line"
Free Travel,"5,175",July 2016,"T2 Airport, Inner West and South Line"
School Student,"83,558",July 2016,"T2 Airport, Inner West and South Line"
Senior/Pensioner,"544,665",July 2016,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Adult,"35,335",July 2016,"T2 Airport, Inner West and South Line"
Sgl Trip Rail Child/Youth,"5,815",July 2016,"T2 Airport, Inner West and South Line"
Adult,"1,615,473",July 2016,T3 Bankstown Line
Child/Youth,"83,619",July 2016,T3 Bankstown Line
Concession,"174,271",July 2016,T3 Bankstown Line
CTP,nan,July 2016,T3 Bankstown Line
Day Pass Child/Youth w/o SAF,nan,July 2016,T3 Bankstown Line
Day Pass without SAF,nan,July 2016,T3 Bankstown Line
Employee,"13,196",July 2016,T3 Bankstown Line
Free Travel,"1,087",July 2016,T3 Bankstown Line
School Student,"28,934",July 2016,T3 Bankstown Line
Senior/Pensioner,"227,938",July 2016,T3 Bankstown Line
Sgl Trip Rail Adult,"4,303",July 2016,T3 Bankstown Line
Sgl Trip Rail Child/Youth,"1,630",July 2016,T3 Bankstown Line
Adult,"3,970,697",July 2016,T4 Eastern Suburbs and Illawarra Line
Child/Youth,"175,608",July 2016,T4 Eastern Suburbs and Illawarra Line
Concession,"292,557",July 2016,T4 Eastern Suburbs and Illawarra Line
CTP,nan,July 2016,T4 Eastern Suburbs and Illawarra Line
Day Pass Child/Youth w/o SAF,nan,July 2016,T4 Eastern Suburbs and Illawarra Line
Day Pass without SAF,nan,July 2016,T4 Eastern Suburbs and Illawarra Line
Employee,"42,820",July 2016,T4 Eastern Suburbs and Illawarra Line
Free Travel,"4,739",July 2016,T4 Eastern Suburbs and Illawarra Line
